                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 2.9775,                0.47777,                0.09964,                0.64233,                0.50819,                0.52717,                0.32725,                 2.6312,                0.54907,                0.05949,                 0.0001,                 0.0001,                 0.0001
                    128,                  2.955,                0.47815,                0.10064,                0.63796,                0.50922,                0.52746,                 0.3278,                 2.6021,                0.54914,                0.05922,                 0.0001,                 0.0001,                 0.0001
                    129,                 2.9604,                0.47868,                 0.0974,                0.63841,                0.50767,                0.52759,                 0.3276,                 2.6021,                0.54942,                0.05943,                 0.0001,                 0.0001,                 0.0001
                    130,                 2.9691,                0.47562,                0.10224,                0.63407,                0.51036,                0.52729,                0.32675,                 2.6305,                 0.5493,                0.05952,                 0.0001,                 0.0001,                 0.0001
                    131,                 2.9779,                0.47877,                0.09941,                0.63211,                0.51195,                0.52813,                0.32754,                 2.6301,                0.54923,                0.05948,                 0.0001,                 0.0001,                 0.0001
                    132,                 2.9831,                0.47752,                0.09767,                0.63155,                0.51146,                0.52708,                 0.3271,                 2.6305,                0.54898,                0.05929,                 0.0001,                 0.0001,                 0.0001
                    133,                 2.9861,                0.47759,                0.09624,                0.63469,                0.51092,                 0.5272,                0.32715,                 2.6015,                0.54861,                0.05926,                 0.0001,                 0.0001,                 0.0001
                    134,                 2.9636,                0.47629,                0.09847,                 0.6357,                0.50947,                0.52697,                0.32677,                   2.63,                0.54827,                0.05916,                 0.0001,                 0.0001,                 0.0001
                    135,                 2.9762,                0.47761,                0.09807,                0.63712,                0.50556,                0.52679,                0.32695,                 2.6291,                0.54893,                0.05901,                 0.0001,                 0.0001,                 0.0001
                    136,                  2.971,                0.47625,                0.10047,                0.63677,                0.50715,                0.52703,                0.32777,                 2.6294,                 0.5488,                0.05909,                 0.0001,                 0.0001,                 0.0001
                    137,                 2.9872,                0.47836,                0.09725,                0.63793,                0.50613,                0.52561,                0.32671,                 2.6006,                0.54907,                0.05928,                 0.0001,                 0.0001,                 0.0001
                    138,                 2.9941,                0.47567,                    0.1,                0.64038,                0.50556,                0.52623,                0.32679,                 2.6016,                0.54856,                0.05939,                 0.0001,                 0.0001,                 0.0001
                    139,                 2.9735,                0.47632,                0.09958,                0.64095,                0.50751,                0.52768,                0.32753,                 2.6295,                0.54857,                0.05911,                 0.0001,                 0.0001,                 0.0001
